Region code,Region name ,Local authority code,Local authority name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
E12000005,West Midlands,E06000021,Stoke-on-Trent,15920,16737,17502,18184,18948,19430,21061,21248,21246,21223,22048,22058,22231,22230,22786,23739,24865,25391,26995,26487,28005
E12000005,West Midlands,E06000051,Shropshire,:,19631,20964,21928,21823,23331,23891,24650,25424,25078,24775,27515,25346,25563,27264,27193,27633,29584,30105,29517,32954
E12000005,West Midlands,E07000192,Cannock Chase,18673,18446,19253,21479,23120,22499,24583,23054,23437,23926,22867,24565,24158,26601,26140,27851,26947,27986,27352,29368,29035
E12000005,West Midlands,E07000193,East Staffordshire,19160,19100,21726,21564,21729,21584,23041,23027,23340,23967,24148,25853,24892,25124,26765,26103,26360,26662,29485,28054,31373
E12000005,West Midlands,E07000194,Lichfield,21560,21832,23481,24386,24726,23726,25577,27985,28072,27653,29445,29997,29254,30988,31725,30369,31700,34038,36396,35042,36006
E12000005,West Midlands,E07000195,Newcastle-under-Lyme,16999,18865,19846,21146,20983,23610,24025,23272,23983,22394,22822,24734,24313,24640,25862,24907,26274,26619,29040,29584,29471
E12000005,West Midlands,E07000196,South Staffordshire,20737,21537,21689,24430,25049,24513,26489,25303,26217,26304,27079,27626,26404,28505,28811,30322,30942,32611,36519,32949,34121
E12000005,West Midlands,E07000197,Stafford,20533,19463,21287,21946,22784,23686,24986,24690,24839,25856,27429,28497,28109,28101,28793,28581,29323,30800,31066,31346,34272
E12000005,West Midlands,E07000198,Staffordshire Moorlands,20139,20801,19245,22714,23994,23792,25725,24474,25956,24917,26043,26276,27531,26948,26953,27525,27389,30738,29584,31295,32264
E12000005,West Midlands,E07000199,Tamworth,20277,22100,22408,23705,23208,23966,27182,26068,25677,25556,26519,24929,23526,23790,25616,25100,27503,27436,25604,27523,33481
E12000005,West Midlands,E07000218,North Warwickshire,18644,20047,20700,23234,22614,25500,25472,25552,24610,26548,26339,26133,25118,26329,29010,29884,29749,32968,31388,31145,33955
E12000005,West Midlands,E07000219,Nuneaton and Bedworth,18996,20220,20787,21763,23372,23888,24901,24223,24831,25150,25292,26335,25410,25336,25031,27541,26927,27771,28734,28853,29974
E12000005,West Midlands,E07000220,Rugby,21367,22665,22794,24732,24954,24972,26018,26835,27834,26937,29134,29691,29342,30593,28813,30708,32537,32029,32429,33386,35305
E12000005,West Midlands,E07000221,Stratford-on-Avon,23456,24830,26265,26409,27635,28161,29978,28472,26193,27935,27493,29968,28014,28509,31137,31649,31996,32773,33371,34610,36950
E12000005,West Midlands,E07000222,Warwick,22768,22348,25605,26541,25388,25748,27223,28653,26526,28619,28731,29024,28731,30188,31496,32926,33449,33762,35675,36238,36670
E12000005,West Midlands,E07000234,Bromsgrove,23280,25982,27401,26716,27900,27989,28977,30391,30237,29633,29423,32028,30829,31598,30984,33752,34328,34491,34047,34593,36811
E12000005,West Midlands,E07000235,Malvern Hills,21194,22002,23248,24297,25332,27929,30754,29550,25436,23339,23457,27920,23260,26077,26380,31469,26803,29146,29550,31566,31389
E12000005,West Midlands,E07000236,Redditch,18845,19383,20386,21482,20278,20468,20316,22482,23290,22164,22046,23034,21404,21189,22838,24529,24482,25894,26202,25723,26851
E12000005,West Midlands,E07000237,Worcester,20869,19939,20560,23062,24191,23617,24877,23839,25006,26034,25837,26535,27337,27247,26522,28578,28441,29011,27598,29987,33418
E12000005,West Midlands,E07000238,Wychavon,19491,20474,21176,21946,21825,22304,23264,25216,24298,26595,25349,25203,26405,27309,28019,28968,29998,30723,28601,28219,30057
E12000005,West Midlands,E07000239,Wyre Forest,18392,19060,18301,19772,19984,21929,21787,21394,21951,20442,21479,23100,22973,25647,25259,25060,26024,27233,30212,28700,31721
E12000005,West Midlands,E08000025,Birmingham,19742,19925,20772,21265,22208,22225,22846,23666,23868,24042,24036,24397,25014,25049,25994,26738,27853,27501,29341,28884,30744
E12000005,West Midlands,E08000026,Coventry,19040,20555,21436,22614,22505,21672,22753,23506,23311,24986,24825,26055,25090,26913,27969,28412,28746,28747,29589,30663,33887
E12000005,West Midlands,E08000027,Dudley,19091,18636,19191,20000,20850,21892,23057,21949,22265,23196,23950,24368,24882,25635,26845,27258,27275,29218,31091,29298,30417
E12000005,West Midlands,E08000028,Sandwell,17291,17947,18709,19574,19599,20339,21231,21768,22357,21882,22516,22363,21739,22991,23201,23832,24668,24878,25938,26615,27471
E12000005,West Midlands,E08000029,Solihull,22998,23462,24668,24708,26009,26724,27621,28382,28269,28815,29527,31131,30736,31988,32000,31906,33763,34150,34671,35515,37042
E12000005,West Midlands,E08000030,Walsall,17741,18003,18678,19634,20157,20503,22535,22053,22108,21652,22502,22348,22679,23938,24268,24081,24846,26334,27755,28444,28373
E12000005,West Midlands,E08000031,Wolverhampton,17936,18236,18565,19800,20010,21216,22574,21598,21409,21553,23192,23777,22796,23096,23085,24047,24964,25463,25609,27993,29855
E12000006,East of England,E06000031,Peterborough,19680,20407,20104,20314,20634,21244,22469,23196,23992,23788,24181,23921,24277,24028,24760,24245,25250,27235,27996,28644,30243
E12000006,East of England,E06000032,Luton,19572,22235,22529,22029,23158,22173,23803,24725,23997,24675,24505,25158,25514,26229,26735,28777,27934,29940,29472,28893,30419
E12000006,East of England,E06000033,Southend-on-Sea,21354,21569,23642,23990,23856,25367,25716,27307,27695,27487,27829,26658,28931,28395,29592,30099,31968,32252,33092,35646,33595
E12000006,East of England,E06000034,Thurrock,24854,24174,24589,24201,24345,25379,27693,28285,27999,27383,27775,28998,28688,30151,29643,29696,30248,31553,33574,35077,35814
E12000006,East of England,E06000055,Bedford,20809,20946,23524,23065,22860,25989,28031,26508,27654,26714,26976,28766,28042,28030,29564,30250,29741,31624,34562,31039,33924
E12000006,East of England,E06000056,Central Bedfordshire,:,25504,26844,27770,27895,28003,28386,30199,29174,28243,28859,30101,30074,30772,32266,31507,32266,34868,36229,35000,39532
E12000006,East of England,E07000008,Cambridge,22552,23556,26103,24826,26504,27127,29214,27935,30696,29434,29490,31109,31430,31345,31014,32247,32980,34275,34919,36868,38666
E12000006,East of England,E07000009,East Cambridgeshire,20724,21981,24337,22569,24561,25234,25181,27321,28193,28715,28009,27578,27419,29418,28252,30180,29474,32182,32743,32454,33279
E12000006,East of England,E07000010,Fenland,17606,19436,20652,21088,21157,22450,21518,22628,22675,23874,23837,24255,24459,24727,26454,26419,27708,27935,28678,27148,31262
E12000006,East of England,E07000011,Huntingdonshire,23674,24199,25646,24823,24800,25369,26256,28789,29019,29084,28522,28032,28816,29051,29445,30694,31760,31699,31140,30521,32395
E12000006,East of England,E07000012,South Cambridgeshire,20945,23219,24118,26719,27515,28939,31706,30835,32262,31353,32770,34307,33508,31567,35425,35432,37414,40052,38726,39441,39958
E12000006,East of England,E07000066,Basildon,24500,24146,24908,24037,25568,26030,26632,27976,28192,28395,29416,30449,30347,29217,30560,29839,31084,32748,32597,32749,33108
E12000006,East of England,E07000067,Braintree,21590,23433,23612,24300,24173,26047,26664,26797,27358,28114,30257,30657,31331,30722,31481,31793,32464,33681,33294,31900,36152
E12000006,East of England,E07000068,Brentwood,27897,29764,34628,33012,35367,34468,36229,35427,36104,37737,36027,39445,40565,39862,41929,41499,39691,41542,44005,34719,41594
E12000006,East of England,E07000069,Castle Point,21778,24127,24992,26887,26198,25967,28129,29775,24712,25636,27372,26141,29333,28697,28429,32700,31036,33472,33985,32392,35744
E12000006,East of England,E07000070,Chelmsford,24259,24868,26044,27374,27154,28448,28629,29055,29948,31198,32593,30212,30657,31815,31822,31767,30812,32562,35023,37221,35538
E12000006,East of England,E07000071,Colchester,23078,21918,23048,25372,25559,26754,26325,25282,26603,27089,27139,27164,28280,28515,29032,30923,30906,31091,32523,30974,34964
E12000006,East of England,E07000072,Epping Forest,23887,26687,28010,29888,29976,29962,27817,29171,30431,30677,33431,32495,34804,34104,35876,35106,35363,37466,36688,36543,37091
E12000006,East of England,E07000073,Harlow,20644,20813,20755,21305,22387,24886,23349,22131,25382,24453,24769,24807,25513,25447,26993,27271,27558,27704,27678,28139,29599
E12000006,East of England,E07000074,Maldon,25986,26888,29272,26089,27788,26480,27949,32863,33104,33128,34134,34516,31233,33390,35097,32823,31913,35068,37197,35261,36968
E12000006,East of England,E07000075,Rochford,25424,25514,28042,25999,28033,29932,29596,29110,27837,29793,29496,30602,29112,29971,34173,34496,37711,37410,34134,38791,37753
E12000006,East of England,E07000076,Tendring,18354,20411,19316,21246,21555,21619,24538,24166,24467,24575,25307,25481,25293,25427,25818,27554,27011,28786,28979,30053,31510
E12000006,East of England,E07000077,Uttlesford,28232,27807,29017,25433,28964,30000,29652,31743,31014,31159,29971,30403,31019,32183,35342,36704,34560,36002,36479,36096,39648
